id,sentimento_op30_tf_idf,sentimento_op30,palavras_op30,sentimento_sent_tf_idf,sentimento_sent,palavras_sent,palavras
247,-0.23723674276191234,-4,10,-0.09090497990712557,-1,3,73
248,0.03487290392191479,2,22,-0.0022291087213559355,-1,9,205
249,-0.039539252437966535,0,6,-0.05827775519911309,-1,3,70
250,0.18020177175039814,3,7,0,0,0,59
251,0,0,0,0,0,0,38
252,-0.38162887559927056,-8,23,-0.0742716378758285,-2,4,108
253,-0.27396293216710754,-2,8,0.12971413075349064,1,2,33
254,0.0999242358936097,2,6,-0.045389882932636225,-1,1,56
255,0.2745299043132222,4,13,0.03828944951766169,0,2,59
256,9.75627272340521e-5,15,206,0.03475096263384979,16,39,1126
257,-0.09627044174443684,-1,6,0,0,0,36
258,0.4511481114065947,3,5,0.11095304716866632,1,1,25
259,0.13947582145989626,5,9,0.02537885166916121,1,1,166
260,0.11469379162941729,3,23,0.01831730018674786,0,2,91
261,-0.09567666321769577,-2,26,-0.07021927392116621,-2,6,105
262,0.09945381027230642,1,1,0,0,0,47
263,0,0,0,0,0,0,39
264,-0.1626015733149021,-8,31,-0.10944709239189004,-6,6,177
265,-0.021716650059686406,0,14,-0.16243539414552474,-3,4,81
266,0.047650088848221035,1,6,0.014145860827753983,0,2,86
267,0.5945900105144115,3,6,0,0,0,14
268,0.02210296477720526,1,5,-0.20572125776817146,-2,2,40
269,-0.03668099322558341,0,2,0.041566115010019125,0,2,78
270,0.1275112831121484,1,2,0,0,0,24
271,-0.14778047015045023,-4,16,-0.033360624033122004,-4,4,88
272,0.17414282997896904,5,6,-0.0684691661667794,-1,1,59
273,5.167341078513368e-4,0,10,0.04500440584163814,1,3,63
274,-0.12373209745939787,-2,8,0,0,0,52
275,-0.009088351621452401,0,5,-0.0432348977471484,-2,2,87
276,-0.11523977875921831,-1,11,-0.12677628562184115,-2,1,77
277,0,0,1,0,0,0,12
278,0,0,0,0,0,0,95
279,0.04843141655673801,2,15,-0.008254523301009252,0,4,106
280,-0.14967219314717528,-4,8,-0.14373847701151443,-5,3,77
281,-0.05854850841775813,0,4,0.05534517765187707,1,2,47
282,-0.061464032667423396,0,20,-0.1667768066273757,-4,4,97
283,-0.07324081924454065,0,5,-0.054172875646741316,-1,2,30
284,-0.06695386948973343,1,36,-0.01362660918788294,-1,7,153
285,0,0,1,-0.049248068769764834,-1,1,33
286,-0.07914760520551971,-1,4,-0.047951848707257216,-1,3,53
287,-0.12195223810685729,-2,6,0.014121631006453396,0,2,49
